index,Gender,Race,Age,Created Date,Mailing Zip/Postal Code,Domestic,Country,State,Program,Status,Index
211,Male,Asian,21,12/20/2022,360001,International,India,Gujarat,Data Science (MS),Admit,212
212,Male,Asian,21,10/15/2022,380059,International,India,Gujarat,Data Science (MS),Admit-Coming,213
213,Male,Asian,21,10/19/2022,380058,International,India,Gujarat,Data Science (MS),Admit-Coming,214
214,Male,Asian,22,12/21/2022,390003,International,India,Gujarat,Data Science (MS),Admit-Coming,215
215,Male,Asian,21,12/22/2022,364505,International,India,Gujarat,Data Science (MS),Admit-Coming,216
216,Female,Asian,23,1/16/2023,382421,International,India,Gujarat,Data Science (MS),Admit-Coming,217
217,Male,Asian,22,11/16/2022,380015,Domestic,India,Gujarat,Data Science (MS),Denied,218
218,Female,Asian,23,4/13/2022,380015,International,India,Gujarat,Public Affairs/Community Development (MS),Started App,219
219,Female,Asian,23,7/5/2022,382810,International,India,Gujarat,Computer Science: Scientific Computing (MS),Submitted App,220
220,Male,Asian,23,1/9/2023,380058,International,India,Gujarat,Data Science (MS),Started App,221
221,Male,Asian,22,12/14/2022,122002,International,India,Haryana,Biology: Computational and Integrative (MS),Started App,222
222,Male,None Listed,26,8/2/2022,124001,International,India,Haryana,Biology: Computational and Integrative (MS),Admit-Coming,223
223,Female,Asian,31,11/20/2022,122011,International,India,Haryana,Childhood Studies (PHD),Denied,224
224,Male,None Listed,24,2/6/2023,131001,International,India,Haryana,Computer Science: Scientific Computing (MS),Started App,225
225,Female,Asian,20,12/1/2022,121002,International,India,Haryana,Data Science (MS),Started App,226
226,Male,Asian,25,1/8/2023,122001,International,India,Haryana,Data Science (MS),Started App,227
227,Male,Asian,21,12/3/2022,121002,International,India,Haryana,Data Science (MS),Submitted App,228
228,Female,Asian,22,6/10/2022,124001,International,India,Haryana,Data Science (MS),Admit,229
229,Female,Asian,21,6/22/2022,122003,International,India,Haryana,Data Science (MS),Admit,230
230,Male,Asian,21,12/3/2022,121002,International,India,Haryana,Data Science (MS),Admit,231
231,Male,Asian,21,10/31/2022,122001,International,India,Haryana,Data Science (MS),Denied,232
232,Male,Asian,22,11/22/2022,122017,International,India,Haryana,Data Science (MS),Denied,233
233,Female,Asian,20,1/23/2023,121002,Domestic,India,Haryana,Psychology: Psychological Sciences (MA),Submitted App,234
234,Female,Asian,21,12/29/2022,491001,International,India,Chhattisgarh,Data Science (MS),Admit-Coming,235
235,Male,Asian,21,12/11/2022,380015,International,India,Gujarat,Data Science (MS),Admit-Coming,236
236,Male,Asian,20,12/22/2022,395008,International,India,Gujarat,Data Science (MS),Admit-Coming,237
237,Male,Asian,24,1/28/2023,670310,International,India,Kerala,Data Science (MS),Complete App,238
238,Male,None Listed,22,11/29/2022,411007,International,India,Maharashtra,Data Science (MS),Admit,239
239,Male,Asian,24,12/5/2022,400089,International,India,Maharashtra,Data Science (MS),Admit,240
240,Male,Asian,22,1/11/2023,400607,International,India,Maharashtra,Data Science (MS),Admit,241
241,Male,Asian,21,1/27/2023,440013,International,India,Maharashtra,Data Science (MS),Denied,242
242,Male,Asian,25,3/3/2023,458001,International,India,Maharashtra,Computer Science: Scientific Computing (MS),Complete App,243
243,Female,Asian,23,8/26/2022,190005,International,India,Jammu And Kashmir,Data Science (MS),Admit,244
244,Male,Asian,24,12/17/2022,815316,International,India,Jharkhand,Data Science (MS),Denied,245
245,Male,Asian,23,2/11/2023,560070,International,India,Karnataka,Biology (MS),Started App,246
246,Female,Asian,22,3/10/2023,560012,International,India,Karnataka,Biology (MS),Complete App,247
247,Male,Asian,29,1/7/2023,560017,Domestic,India,Karnataka,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,248
248,Female,Asian,23,11/21/2022,560094,International,India,Karnataka,Computer Science: Scientific Computing (MS),Started App,249
